type,ratio_type,advertiser_id,campaign_id,affiliate_id,zone_id,geo,date_from,date_to,value,direction_id,hard
imps,AFTER_REVSHARE,0,0,950293,2267837,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,950293,2267838,ALL,2023-06-29,2099-01-22,40,53,0
subscr,AFTER,0,0,740593,2944667,ALL,2023-06-29,2099-01-22,80,53,1
subscr,AFTER,0,0,1234585,2972480,ALL,2023-06-29,2099-01-22,80,53,1
subscr,AFTER,0,0,1274847,2978510,ALL,2023-06-29,2099-01-22,80,53,1
imps,AFTER,0,0,1112740,2533587,ALL,2023-06-29,2099-01-22,14,0,0
imps,AFTER,0,0,770988,1618100,ALL,2023-06-29,2099-01-22,40,0,0
imps,AFTER_REVSHARE,0,0,1299169,3076624,ALL,2023-06-29,2099-01-22,20,53,0
imps,AFTER_REVSHARE,0,0,1342965,3177753,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,1369783,3267275,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,1370826,3271319,ALL,2023-06-29,2099-01-22,40,53,0
subscr,AFTER,0,0,1277012,3271492,ALL,2023-06-29,2099-01-22,80,53,1
imps,AFTER_REVSHARE,0,0,1373266,3279223,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,1373283,3279293,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,1305085,3335318,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,1405131,3390774,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,1473358,3602496,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,1481909,3631441,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,1483966,3637951,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER_REVSHARE,0,0,1602732,3919029,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1277012,3271492,ALL,2023-06-29,2099-01-22,65,0,0
imps,AFTER,0,0,1594243,3932597,ALL,2023-06-29,2099-01-22,55,0,0
imps,AFTER,0,0,1213913,4029374,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1681543,4145371,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1681916,4146340,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1681922,4146354,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1363958,3358181,ALL,2023-06-29,2099-01-22,65,0,0
imps,AFTER,0,0,1451477,3528805,ALL,2023-06-29,2099-01-22,15,0,0
imps,AFTER,0,0,1750620,4330355,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1750704,4331967,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1169607,3083974,ALL,2023-06-29,2099-01-22,13,0,0
imps,AFTER,0,0,1330858,3138250,ALL,2023-06-29,2099-01-22,50,0,0
imps,AFTER,0,0,1791641,4479158,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1794286,4488979,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1349893,3199801,ALL,2023-06-29,2099-01-22,14,0,0
imps,AFTER,0,0,1747728,4319907,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1793482,4486004,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1747498,4318908,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1473327,3602424,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1473353,3602481,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1473336,3602443,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1473339,3602448,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1472838,3600696,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1473341,3602452,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,826834,1771186,ALL,2023-06-29,2099-01-22,20,0,0
imps,AFTER,0,0,1743761,4305619,ALL,2023-06-29,2099-01-22,28,0,0
imps,AFTER,0,0,1809164,4543771,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1810373,4548184,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1813597,4560660,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1832046,4635771,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1833693,4641863,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1235263,4687391,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1807925,4697161,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1742972,4867424,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1916036,4973251,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1382777,5003863,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1927072,5020768,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1872000,5045790,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1812115,4871357,ALL,2023-06-29,2099-01-22,30,0,0
imps,AFTER,0,0,1964403,5185702,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1965887,5196381,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1824372,5234445,ALL,2023-06-29,2099-01-22,40,0,0
all,AFTER,0,0,1781622,5223396,ALL,2023-06-29,2099-01-22,40,0,0
imps,AFTER,0,0,1940130,5279171,ALL,2023-06-29,2099-01-22,40,0,0
imps,AFTER,0,0,1794836,5301115,ALL,2023-06-29,2099-01-22,40,0,0
imps,AFTER,0,0,1466763,3580323,ALL,2023-06-29,2099-01-22,13,0,0
imps,AFTER,0,0,950248,5339338,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1939443,5081519,ALL,2023-06-29,2099-01-22,87,0,0
imps,AFTER,0,0,1235400,5345445,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1793467,5366910,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1994260,5366749,ALL,2023-06-29,2099-01-22,40,0,0
imps,AFTER,0,0,2032326,5434372,ALL,2023-06-29,2099-01-22,35,0,0
imps,AFTER,0,0,2041161,5464893,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2041367,5465691,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1975872,5234204,ALL,2023-06-29,2099-01-22,20,53,0
imps,AFTER,0,0,1849205,4701922,ALL,2023-06-29,2099-01-22,65,0,0
imps,AFTER,0,0,1396386,3357695,ALL,2023-06-29,2099-01-22,25,0,0
imps,AFTER,0,0,1681922,4146355,ALL,2023-06-29,2099-01-22,20,53,0
imps,AFTER,0,0,1774072,4415774,ALL,2023-06-29,2099-01-22,20,0,0
imps,AFTER,0,0,1793467,4485978,ALL,2023-06-29,2099-01-22,20,0,0
imps,AFTER,0,0,1681543,4145370,ALL,2023-06-29,2099-01-22,20,53,0
imps,AFTER,0,0,1820928,4591951,ALL,2023-06-29,2099-01-22,20,53,0
imps,AFTER,0,0,1994260,5307004,ALL,2023-06-29,2099-01-22,20,53,0
imps,AFTER,0,0,1970973,5212460,ALL,2023-06-29,2099-01-22,20,53,0
imps,AFTER,0,0,1975888,5234272,ALL,2023-06-29,2099-01-22,20,53,0
imps,AFTER,0,0,1681916,4146341,ALL,2023-06-29,2099-01-22,20,53,0
imps,AFTER,0,0,1405131,3390774,ALL,2023-06-29,2099-01-22,37,0,0
imps,AFTER,0,0,1858543,4827036,ALL,2023-06-29,2099-01-22,25,0,0
imps,AFTER,0,0,799697,5030740,ALL,2023-06-29,2099-01-22,29,0,0
imps,AFTER,0,0,1305085,3335318,ALL,2023-06-29,2099-01-22,20,0,0
imps,AFTER,0,0,1997842,5318829,ALL,2023-06-29,2099-01-22,30,0,0
imps,AFTER,0,0,1988493,5287464,ALL,2023-06-29,2099-01-22,33,0,0
imps,AFTER,0,0,1903329,4914887,ALL,2023-06-29,2099-01-22,35,53,0
imps,AFTER,0,0,2012373,5367001,ALL,2023-06-29,2099-01-22,37,53,0
imps,AFTER,0,0,1975890,5234282,ALL,2023-06-29,2099-01-22,35,53,0
imps,AFTER,0,0,1023549,5151614,ALL,2023-06-29,2099-01-22,50,0,0
imps,AFTER,0,0,1965303,5196344,ALL,2023-06-29,2099-01-22,35,53,0
imps,AFTER,0,0,1757836,4356595,ALL,2023-06-29,2099-01-22,35,0,0
imps,AFTER,0,0,1842269,4674201,ALL,2023-06-29,2099-01-22,32,53,0
imps,AFTER,0,0,1608090,3931654,ALL,2023-06-29,2099-01-22,37,0,0
imps,AFTER,0,0,1727449,4244637,ALL,2023-06-29,2099-01-22,35,0,0
imps,AFTER,0,0,1990333,5293934,ALL,2023-06-29,2099-01-22,34,0,0
imps,AFTER,0,0,2047862,5490880,ALL,2023-06-29,2099-01-22,30,53,0
imps,AFTER,0,0,1791644,4479179,ALL,2023-06-29,2099-01-22,35,0,0
imps,AFTER,0,0,1023561,5151625,ALL,2023-06-29,2099-01-22,44,0,0
imps,AFTER,0,0,1023529,5151636,ALL,2023-06-29,2099-01-22,44,0,0
imps,AFTER,0,0,1274847,2978510,ALL,2023-06-29,2099-01-22,67,0,0
imps,AFTER,0,0,893878,5032256,ALL,2023-06-29,2099-01-22,49,0,0
imps,AFTER,0,0,1925479,5076166,ALL,2023-06-29,2099-01-22,37,0,0
imps,AFTER,0,0,2053794,5503398,ALL,2023-06-29,2099-01-22,35,0,0
imps,AFTER,0,0,1582487,4884924,ALL,2023-06-29,2099-01-22,38,0,0
imps,AFTER,0,0,1751978,4336095,ALL,2023-06-29,2099-01-22,35,0,0
imps,AFTER,0,0,1396386,3357696,ALL,2023-06-29,2099-01-22,39,0,0
imps,AFTER,0,0,2035877,5445767,ALL,2023-06-29,2099-01-22,35,0,0
imps,AFTER,0,0,1473344,3602458,ALL,2023-06-29,2099-01-22,34,0,0
imps,AFTER,0,0,1911553,5307701,ALL,2023-06-29,2099-01-22,33,0,0
imps,AFTER,0,0,1473333,3602438,ALL,2023-06-29,2099-01-22,36,0,0
imps,AFTER,0,0,1944792,5114107,ALL,2023-06-29,2099-01-22,39,0,0
imps,AFTER,0,0,810920,4772548,ALL,2023-06-29,2099-01-22,21,0,0
imps,AFTER,0,0,2037479,5451894,ALL,2023-06-29,2099-01-22,32,0,0
imps,AFTER,0,0,1919418,4987969,ALL,2023-06-29,2099-01-22,39,0,0
imps,AFTER,0,0,1370826,3271319,ALL,2023-06-29,2099-01-22,35,0,0
imps,AFTER,0,0,1928028,5037778,ALL,2023-06-29,2099-01-22,30,0,0
imps,AFTER,0,0,1979303,5248765,ALL,2023-06-29,2099-01-22,16,0,0
imps,AFTER,0,0,2118486,5705774,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1239609,5730669,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2125414,5731992,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2128287,5742649,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2026897,5752613,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1754967,5766274,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2078634,5769924,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2138206,5777288,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2004095,5807463,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2155222,5812960,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2167256,5853383,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2171198,5868341,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1274847,5876155,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2128029,5912821,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,799697,5968117,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2003443,5976384,ALL,2023-06-29,2099-01-22,30,0,0
imps,AFTER,0,0,2165995,5976411,ALL,2023-06-29,2099-01-22,30,0,0
imps,AFTER,0,0,2201744,5984401,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,2215287,6044445,ALL,2023-06-29,2099-01-22,40,53,0
imps,AFTER,0,0,1277013,2985567,ALL,2023-06-29,2099-01-22,70,0,0
imps,AFTER,0,0,1282432,3001144,ALL,2023-06-29,2099-01-22,70,0,0
imps,AFTER,0,0,1343345,3178829,ALL,2023-06-29,2099-01-22,70,0,0
imps,AFTER,0,0,1277016,2985551,ALL,2023-06-29,2099-01-22,70,0,0
imps,AFTER,0,0,1218815,2824298,ALL,2023-06-29,2099-01-22,75,0,0
